Material|Old Material|Vendor ID|Vendor Name|List Price|Quantity|PDT/LT|SKU Category|Selling UOM|Material Description|DChain Spec Status|Material Group 2 Description|Material Group 5 Description|Sales Text (F)
342800-0005|NLG342800-0005|IVG2960|Thermo Fisher Scientific Pte Ltd.|218.00|0.00|144|CORE|CS|VIAL, MPV, STERILE, PPCO; 0.5ML|S4|Core LPE|RSD Prefix - NLG|
342800-0020|NLG342800-0020|IVG2960|Thermo Fisher Scientific Pte Ltd.|241.00|0.00|144|CORE|CS|VIAL, MPV, STERILE, PPCO; 2ML||Core LPE|RSD Prefix - NLG|
342805-0005|NLG342805-0005|IVG2960|Thermo Fisher Scientific Pte Ltd.|239.00|0.00|144|CORE|CS|VIAL, MPV, STERILE, PPCO; AMBER, 0.5ML||Core LPE|RSD Prefix - NLG|
342805-0020|NLG342805-0020|IVG2960|Thermo Fisher Scientific Pte Ltd.|263.00|0.00|144|CORE|CS|VIAL, MVP, STERILE, PPCO; AMBER, 2.0ML||Core LPE|RSD Prefix - NLG|
342820-0110|NLG342820-0110|IVG2960|Thermo Fisher Scientific Pte Ltd.|183.00|0.00|144|CORE|CS|CLSR, MPV, W/O CODER, STERILE, PPCO;11MM||Core LPE|RSD Prefix - NLG|
342821-0110|NLG342821-0110|IVG2960|Thermo Fisher Scientific Pte Ltd.|180.00|0.00|144|CORE|CS|CLOS, MPV, LOW PRO, STERILE, PPCO; 11MM||Core LPE|RSD Prefix - NLG|
342821-0111|NLG342821-0111|IVG2960|Thermo Fisher Scientific Pte Ltd.|188.00|0.00|144|CORE|CS|CLOS,MPV,LOW PRO,STERILE,WHITE,PPCO;11MM||Core LPE|RSD Prefix - NLG|
342821-0112|NLG342821-0112|IVG2960|Thermo Fisher Scientific Pte Ltd.|188.00|1.00|144|CORE|CS|CLOS,MPV, LOW PRO, YELLOW, PPCO; 11MM||Core LPE|RSD Prefix - NLG|
342821-0116|NLG342821-0116|IVG2960|Thermo Fisher Scientific Pte Ltd.|188.00|0.00|144||CS|CLOS, MPV, LOW PRO, BLUE, PPCO; 11MM||Core LPE|RSD Prefix - NLG|
342825-0110|NLG342825-0110|IVG2960|Thermo Fisher Scientific Pte Ltd.|201.00|0.00|144|CORE|CS|CLOS,MPV,W/O CODER,STER,AMBER PPCO;11 MM||Core LPE|RSD Prefix - NLG|
